resume;nom;categorie;dateDeSortie;entreprise;noteGen;noteCrea;img;media;son;nominations
Baldur's Gate III est le nouvel opus des jeux de rôle de la série Baldur's Gate, issue de l'univers Donjons et Dragons. Il se déroule avant le premier opus. Vous grandissez du premier au trentième niveau, de Baldur's Gate aux Enfers. Ce RPG reprend le principe de son aîné et propose la création d'un personnage parmi diverses classes, caractéristiques et compétences.;Baldur's Gate III;Aventure;2023-08-03;Larian Studios;17.6;16.5;files/bg3.jpg;null;null;GOTY
Levez-vous, Sans-éclat, et puisse la grâce guider vos pas. Brandissez la puissance du Cercle d'Elden. Devenez Seigneur de l'Entre-terre.Un monde immense aux environnements riches et variés, parsemé d'obscurs et tortueux donjons tous reliés naturellement entre eux, vous attend. Au fil de votre exploration, goûtez à l'inconnu, bravez les menaces permanentes et accomplissez votre destinée.;Elden Ring;Aventure;2022-02-25;FromSoftwareInc.;17.2;17;files/eldenring.jpg;null;null;GOTY
Incarnez V, un mercenaire cyberpunk, et faites tout ce qui est en votre pouvoir pour vous faire un nom à Night City : une mégapole où les seules choses qui comptent sont le pouvoir, le glamour et les modifications corporelles. C'est ici que les légendes s'écrivent. À quoi ressemblera la vôtre ? ;Cyberpunk 2077;Action;2020-12-10;CD PROJEKT RED;17.5;15;files/cyberpunk.jpg;Cyberpunk Edgerunners;null;Game Award
Découvrez le Poudlard des années 1800. Vous y incarnez un élève détenant la clé d'un secret antique qui menace d'anéantir le monde des sorciers. Forgez des alliances, combattez des mages noirs et façonnez le destin du monde des sorciers. Votre héritage vous appartient. Écrivez votre propre histoire.;Hogwarts Legacy;Aventure;2023-02-10;Avalanche Software;15.3;14;files/hogwarts.jpg;Harry Potter;null;null
Amérique, 1899.   Arthur Morgan et la bande de Dutch van der Linde sont en cavale. Les agents fédéraux et les meilleurs chasseurs de primes du pays se mettent à leurs trousses et la bande commet méfaits sur méfaits dans les vastes terres sauvages de l'Amérique dans un seul et unique but : survivre. Alors que des querelles internes menacent de faire voler la bande en éclats, Arthur est tiraillé entre ses propres idéaux et sa loyauté envers la bande qui l'a élevé.;Red Dead Redemption;Aventure;2018-10-26;Rockstar Games;17.1;-1;files/red_dead_redemption_2.jpg;Suite de Red Dead Revolver;null;Game Award
Hitman 3 marque la conclusion de la trilogie World of Assassination. Incarnez l’agent 47, un assassin professionnel impitoyable qui devra entreprendre les contrats les plus importants de toute sa carrière. Quand tout sera fini, l’agent 47 et le monde ne seront plus jamais les mêmes.;Hitman;Action;2021-01-20;IO Interactive A/S;16.8;-1;files/hitman.jpg;Hitman;null;null
Final Fantasy XVI prend place dans le monde de Valisthéa, dont la spécificité est de contenir six cristaux, appelés Cristaux-mères, produisant de l'éther et permettant aux personnes vivant à proximité d'utiliser de la magie. Autour de chaque cristal s'est construit une nation : l'Archiduché de Rosalia, le Saint-Empire de Sangbrèque, le Royaume de Valoed, la République de Dalméquie, le Royaume de Fer et le Dominion du Cristal.;Final Fantasy XVI;Action;2023-06-22;Square Enix;14.2;-1;files/final-fantasy-xvi.jpg;null;null;null
Overwatch 2 est la suite du Hero Shooter de Blizzard. Le titre prolonge l'expérience PvP du jeu tout en y ajoutant une nouvelle dimension PvE sous forme de missions scénarisées et de contenus en coopération rejouables. Dans ces modes joueurs contre l'environnement, des points de talent font leur apparition et permettent de modifier le gameplay des différents héros du jeu.;Overwatch 2;Action;2022-10-04;Blizzard Entertainment, Inc.;8.3;14;files/overwatch2.jpg;null;null;null
Lorsqu'un jeune arnaqueur, un braqueur de banque à la retraite et un terrifiant psychopathe se retrouvent piégés par de grands criminels, le gouvernement américain et l'industrie du divertissement, ils décident de se lancer dans une série de braquages pour survivre dans une ville sans pitié, où ils ne peuvent se fier à personne, même entre eux.;GTA V;Action;2013-08-17;Rockstar Games;17.5;17;files/gtaV.jpg;null;null;Game Award
Vivez le summum du football international féminin dans EA SPORTS™ FIFA 23 avec la FIFA Women’s World Cup Australie et Nouvelle-Zélande 2023™, disponible le 27 juin sans coût supplémentaire*. Défendez les couleurs de votre pays et vivez la compétition dans l'expérience EA SPORTS™ FIFA Women’s World Cup™ la plus immersive à ce jour, avec chacun des 32 pays qualifiés, des habillages de stades personnalisés, des cinématiques, des présentations de matchs, des commentaires dédiés et bien sûr, le vrai trophée à remporter.;FIFA;Sport;2023-08-22;Electronic Arts;9.7;12;files/fifa23.jpg;null;null;null
